uid,timeOfFlight,hc,latitude,longitude,speed,datetime,bearing,direction
bilal,537.0,0.0,33.980078666666664,9.093752166666667,0.529672,125930.00,,
bilal,8191.0,0.0,33.98007533333333,9.09376,0.15186400000000003,125932.00,117.16525545243951,right
bilal,8190.0,0.0,33.980075166666666,9.093746666666666,2.381672,125934.00,269.1363816698169,left
bilal,8191.0,0.0,33.980074,9.0937355,1.783476,125936.00,262.81896165179916,left
bilal,8191.0,0.0,33.980071,9.093725,1.753844,125938.00,250.98846441603771,left
bilal,8191.0,0.0,33.980066666666666,9.093717999999999,1.9446,125940.00,233.2575135623208,left
bilal,8191.0,0.0,33.98006183333333,9.0937035,2.683548,125942.00,248.10094563701648,left
bilal,8190.0,0.0,33.9800565,9.093689166666667,2.894676,125944.00,245.83327766658658,left
bilal,8190.0,0.0,33.98005066666666,9.093674166666666,2.9039360000000003,125946.00,244.8746167833289,left
bilal,8191.0,0.0,33.980054,9.093658833333333,2.5594639999999997,125948.00,284.6900682795816,left
bilal,8191.0,0.0,33.98006683333333,9.093650333333333,2.6965120000000002,125950.00,331.22301775986494,forward
bilal,8191.0,0.0,33.98008633333333,9.093631833333333,3.8836440000000003,125952.00,321.80761888511864,forward
bilal,8191.0,0.0,33.980105,9.093626833333333,3.48176,125954.00,347.477012260052,forward
bilal,654.0,0.0,33.980121833333335,9.093619333333333,3.6651080000000005,125956.00,339.7227660019998,forward
bilal,8190.0,0.0,33.98014033333333,9.093609833333334,4.098476000000001,125958.00,336.9346526120909,forward
bilal,8191.0,0.0,33.980160833333336,9.093599666666666,4.254044,130000.00,337.6453441179678,forward
bilal,8191.0,0.0,33.98018283333333,9.093585833333334,4.541104,130002.00,332.4619978780078,forward
bilal,8190.0,0.0,33.98020283333334,9.093576333333333,4.217004,130004.00,338.50128375198574,forward
bilal,8190.0,0.0,33.98022266666667,9.093568,4.281824,130006.00,340.790836073581,forward
bilal,8191.0,0.0,33.980242,9.0935605,4.1336640000000004,130008.00,342.1678378598784,forward
bilal,8190.0,0.0,33.98025916666667,9.093555666666667,4.1299600000000005,130010.00,346.85841183356683,forward
bilal,8191.0,0.0,33.98027716666667,9.093578,4.4448,130012.00,45.81494422702394,right
bilal,8190.0,0.0,33.9802885,9.093599,4.063288,130014.00,56.94296043169942,right
bilal,8191.0,0.0,33.98029583333334,9.0936205,4.144776,130016.00,67.64126757205781,right
bilal,8190.0,0.0,33.980303666666664,9.093646666666666,4.394796,130018.00,70.14973168567053,right
bilal,8191.0,0.0,33.980310333333335,9.093664833333333,3.9280920000000004,130020.00,66.12839041493942,right
bilal,8191.0,0.0,33.98032416666667,9.093678333333333,2.8243,130022.00,38.98144883389716,forward
bilal,8190.0,0.0,33.9803355,9.0936745,2.3946359999999998,130024.00,344.33253760801915,forward
bilal,8191.0,0.0,33.98034633333333,9.093669,2.468716,130026.00,337.16923087992836,forward
bilal,8191.0,0.0,33.98036483333333,9.093657499999999,3.6058440000000003,130028.00,332.73039937213844,forward
bilal,8191.0,73.92,33.980384,9.093648,4.15774,130030.00,337.6568899260571,forward
