uid,timeOfFlight,hc,latitude,longitude,speed,datetime,bearing,direction
bilal,8190.0,0.0,33.98012133333334,9.093764333333333,0.16668,124607.00,,
bilal,8190.0,0.0,33.98012933333333,9.093755166666666,1.689024,124609.00,316.4639523241859,forward
bilal,8190.0,0.0,33.980146,9.093745833333333,3.502132,124611.00,335.09128138093087,forward
bilal,8191.0,0.0,33.98016783333333,9.093741333333334,3.2280360000000003,124613.00,350.30127530101964,forward
bilal,8191.0,0.0,33.98018483333333,9.093735833333334,3.742892,124615.00,344.98228582994034,forward
bilal,8191.0,0.0,33.98020483333333,9.093730166666667,3.1021,124617.00,346.7782341666191,forward
bilal,8191.0,0.0,33.98022366666667,9.093726166666666,2.9076400000000002,124619.00,350.011515315483,forward
bilal,304.0,0.0,33.98024133333333,9.093717333333334,3.474352,124621.00,337.4803619605543,forward
bilal,8191.0,0.0,33.98025916666667,9.093707666666667,3.2095160000000003,124623.00,335.7965950666754,forward
bilal,8191.0,0.0,33.98027366666667,9.093693,2.872452,124625.00,320.0113748444986,forward
bilal,8191.0,0.0,33.98027916666667,9.093671833333334,3.496576,124627.00,287.39859554056295,left
bilal,8191.0,0.0,33.980271333333334,9.093651333333334,3.7317800000000005,124629.00,245.25949206714085,left
bilal,8190.0,0.0,33.980267,9.0936315,3.529912,124631.00,255.23906452586453,left
bilal,8191.0,0.0,33.980263,9.0936135,3.848456,124633.00,254.99802735504923,left
bilal,8191.0,0.0,33.98025466666667,9.093593166666667,4.074400000000001,124635.00,243.69972926535,left
bilal,8190.0,0.0,33.98024516666667,9.093589999999999,1.9297840000000002,124637.00,195.45133705908492,backward
bilal,8190.0,0.0,33.980227166666666,9.0935995,3.7706720000000002,124639.00,156.3634359565757,backward
bilal,8191.0,0.0,33.9802075,9.093612333333333,4.276268000000001,124641.00,151.5818171712757,backward
bilal,8190.0,0.0,33.98018783333333,9.0936245,3.9577240000000002,124643.00,152.84223157107522,backward
bilal,8191.0,0.0,33.98016716666667,9.093632,3.3502680000000002,124645.00,163.25184930155183,backward
bilal,8190.0,0.0,33.980146166666664,9.093641,4.4596160000000005,124647.00,160.43555791094434,backward
bilal,8191.0,0.0,33.98012666666666,9.093651333333334,3.8503080000000005,124649.00,156.27826548376845,backward
bilal,8191.0,0.0,33.9801185,9.093667166666666,2.9483840000000003,124651.00,121.88197972745547,right
bilal,8191.0,0.0,33.980124333333336,9.093690833333334,3.9188320000000005,124653.00,73.4460594468676,right
bilal,8190.0,0.0,33.9801375,9.093713333333334,4.239228000000001,124655.00,54.78953353311431,right
bilal,8190.0,0.0,33.98014716666667,9.093735,3.468796,124657.00,61.71827469482412,right
bilal,8191.0,0.0,33.98016,9.093751333333334,4.383684000000001,124659.00,46.54353571461968,right
bilal,8190.0,0.0,33.980170333333334,9.093739833333334,3.587324,124701.00,317.2975112349316,forward
bilal,8190.0,0.0,33.98018,9.093718666666668,4.383684000000001,124703.00,298.8434595036921,left
bilal,8190.0,0.0,33.98018883333334,9.093698333333332,4.2299679999999995,124705.00,297.64962320130064,left
